"ipc-image src","ipc-lockup-overlay href","ipc-signpost__text","ipc-title-link-wrapper href","ipc-title__text","sc-99e9da6e-6","sc-99e9da6e-6 2","sc-99e9da6e-6 3","ipc-rating-star--rating","ipc-rating-star--voteCount"
"https://m.media-amazon.com/images/M/MV5BZjYyNGY1MDEtN2I1MC00MGVhLTljZTYtODQ1NzQ0ODc2NzZlXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0064116/?ref_=chttp_i_54","#54","https://www.imdb.com/title/tt0064116/?ref_=chttp_t_54","Once Upon a Time in the West","1968","2h 25m","PG-13","8.5","(383K)"
"https://m.media-amazon.com/images/M/MV5BM2U4NjgzODUtODkyOC00YTE2LTlhNTItYzFlYmM1NTEzZDA2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0021749/?ref_=chttp_i_55","#55","https://www.imdb.com/title/tt0021749/?ref_=chttp_t_55","City Lights","1931","1h 27m","G","8.5","(216K)"
"https://m.media-amazon.com/images/M/MV5BZDhiMTljYjYtODc1Yy00MmEwLTg2OTYtYmE1YTRmNDE4MmEwXkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg","https://www.imdb.com/title/tt0078788/?ref_=chttp_i_56","#56","https://www.imdb.com/title/tt0078788/?ref_=chttp_t_56","Apocalypse Now","1979","2h 27m","R","8.4","(768K)"
"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0910970/?ref_=chttp_i_57","#57","https://www.imdb.com/title/tt0910970/?ref_=chttp_t_57","WALL·E","2008","1h 38m","G","8.4","(1.3M)"
"https://m.media-amazon.com/images/M/MV5BMGQ3Y2Q4NjktN2E4Ny00Y2Q2LTliZDUtZTNiNjRhY2I0NGIyXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg","https://www.imdb.com/title/tt0209144/?ref_=chttp_i_58","#58","https://www.imdb.com/title/tt0209144/?ref_=chttp_t_58","Memento","2000","1h 53m","R","8.4","(1.4M)"
"https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt15239678/?ref_=chttp_i_59","#59","https://www.imdb.com/title/tt15239678/?ref_=chttp_t_59","Dune: Part Two","2024","2h 46m","PG-13","8.4","(732K)"
"https://m.media-amazon.com/images/M/MV5BOGNhMjg2ZjgtYzk4Ni00MTViLTg1MmUtYzM2MDZiYjZlMmU3XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0082971/?ref_=chttp_i_60","#60","https://www.imdb.com/title/tt0082971/?ref_=chttp_t_60","Raiders of the Lost Ark","1981","1h 55m","PG","8.4","(1.1M)"
"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt4154756/?ref_=chttp_i_61","#61","https://www.imdb.com/title/tt4154756/?ref_=chttp_t_61","Avengers: Infinity War","2018","2h 29m","PG-13","8.4","(1.4M)"
"https://m.media-amazon.com/images/M/MV5BYjM1N2Q0YWEtN2E5MC00NDM3LTk2NTEtMTc1NTk5OTA5ZGIzXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt0405094/?ref_=chttp_i_62","#62","https://www.imdb.com/title/tt0405094/?ref_=chttp_t_62","The Lives of Others","2006","2h 17m","R","8.4","(442K)"
"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX90_CR0,0,90,133_.jpg","https://www.imdb.com/title/tt4633694/?ref_=chttp_i_63","#63","https://www.imdb.com/title/tt4633694/?ref_=chttp_t_63","Spider-Man: Into the Spider-Verse","2018","1h 57m","PG","8.4","(784K)"
